Notikuma identifikators;Vērtība;Lauka nosaukums
220688298;Diena;Apgaismojums
220664037;Diena;Apgaismojums
220666713;Krēsla;Apgaismojums
220666724;Diena;Apgaismojums
220669408;Diena;Apgaismojums
220672089;Diena;Apgaismojums
220414768;Diena;Apgaismojums
220627925;Diena;Apgaismojums
220629222;Diena;Apgaismojums
220592714;Diena;Apgaismojums
220598030;Diena;Apgaismojums
220597722;Diena;Apgaismojums
220387327;Diena;Apgaismojums
220388702;Diena;Apgaismojums
220389989;Diena;Apgaismojums
220391303;Tumsa;Apgaismojums
220638596;Apgaismojuma nav;Apgaismojums
220641205;Diena;Apgaismojums
220624018;Tumsa, apgaism.ieslēgts;Apgaismojums
220629314;Diena;Apgaismojums
220624221;Diena;Apgaismojums
220619806;Diena;Apgaismojums
220621078;Diena;Apgaismojums
220621083;Diena;Apgaismojums
220601374;Diena;Apgaismojums
220396172;Diena;Apgaismojums
220397381;Diena;Apgaismojums
220626025;REGULĒJAMA KRUSTOJUMA IZBRAUKŠANAS NOLIEGUMU NEIEVĒROŠANA (LUKSOFORS, PRIEKŠROKA, CEĻAZĪMES U.TML.);Iemesls
220574199;CITS IEMESLS;Iemesls
220484808;NEPĀRLIECINĀŠANĀS PAR CEĻU SATIKSMES DROŠĪBU (NEUZMANĪBA);Iemesls
220454383;NEPĀRLIECINĀŠANĀS PAR CEĻU SATIKSMES DROŠĪBU (NEUZMANĪBA);Iemesls
220652275;NEPĀRLIECINĀŠANĀS PAR CEĻU SATIKSMES DROŠĪBU (NEUZMANĪBA);Iemesls
220479604;NEPĀRLIECINĀŠANĀS PAR CEĻU SATIKSMES DROŠĪBU (NEUZMANĪBA);Iemesls
220624655;NEPĀRLIECINĀŠANĀS PAR CEĻU SATIKSMES DROŠĪBU (NEUZMANĪBA);Iemesls
220500472;CITS IEMESLS;Iemesls
222082846;NEPĀRLIECINĀŠANĀS PAR CEĻU SATIKSMES DROŠĪBU (NEUZMANĪBA);Iemesls
220424228;DROŠAS DISTANCES NEIEVĒROŠANA;Iemesls
220437450;REGULĒJAMA KRUSTOJUMA IZBRAUKŠANAS NOLIEGUMU NEIEVĒROŠANA (LUKSOFORS, PRIEKŠROKA, CEĻAZĪMES U.TML.);Iemesls
220388051;CITS IEMESLS;Iemesls
220403072;CITS IEMESLS;Iemesls
220554825;CITS IEMESLS;Iemesls
220631517;DROŠAS DISTANCES NEIEVĒROŠANA;Iemesls
220409569;CITS IEMESLS;Iemesls
220632529;CITS IEMESLS;Iemesls
220631295;NEPĀRLIECINĀŠANĀS PAR CEĻU SATIKSMES DROŠĪBU (NEUZMANĪBA);Iemesls
220558524;CEĻA APSTĀKĻI;Iemesls
220423834;NEPAREIZA ĀTRUMA IZVĒLE;Iemesls
220378183;CITS IEMESLS;Iemesls
220423554;CITS IEMESLS;Iemesls
220553368;NEPĀRLIECINĀŠANĀS PAR CEĻU SATIKSMES DROŠĪBU (NEUZMANĪBA);Iemesls
220453335;DROŠAS DISTANCES NEIEVĒROŠANA;Iemesls
220685755;CITS IEMESLS;Iemesls
220474355;CITS IEMESLS;Iemesls
220669680;CITS IEMESLS;Iemesls
220392077;CITS IEMESLS;Iemesls
220491411;CITS IEMESLS;Iemesls
220486904;CITS IEMESLS;Iemesls
220426725;NEPĀRLIECINĀŠANĀS PAR CEĻU SATIKSMES DROŠĪBU (NEUZMANĪBA);Iemesls
220446621;REGULĒJAMA KRUSTOJUMA IZBRAUKŠANAS NOLIEGUMU NEIEVĒROŠANA (LUKSOFORS, PRIEKŠROKA, CEĻAZĪMES U.TML.);Iemesls
220623042;CITS IEMESLS;Iemesls
220502819;CITS IEMESLS;Iemesls
220647970;NEPĀRLIECINĀŠANĀS PAR CEĻU SATIKSMES DROŠĪBU (NEUZMANĪBA);Iemesls
220702414;NEPĀRLIECINĀŠANĀS PAR CEĻU SATIKSMES DROŠĪBU (NEUZMANĪBA);Iemesls
221811291;CITS IEMESLS;Iemesls
220397113;CITS IEMESLS;Iemesls
220529128;REGULĒJAMA KRUSTOJUMA IZBRAUKŠANAS NOLIEGUMU NEIEVĒROŠANA (LUKSOFORS, PRIEKŠROKA, CEĻAZĪMES U.TML.);Iemesls
220563305;CITS IEMESLS;Iemesls
220601832;CITS IEMESLS;Iemesls
220459565;NEPĀRLIECINĀŠANĀS PAR CEĻU SATIKSMES DROŠĪBU (NEUZMANĪBA);Iemesls
220497034;NEPĀRLIECINĀŠANĀS PAR CEĻU SATIKSMES DROŠĪBU (NEUZMANĪBA);Iemesls
220537395;NEPĀRLIECINĀŠANĀS PAR CEĻU SATIKSMES DROŠĪBU (NEUZMANĪBA);Iemesls
220399952;CITS IEMESLS;Iemesls
220689192;NEPĀRLIECINĀŠANĀS PAR CEĻU SATIKSMES DROŠĪBU (NEUZMANĪBA);Iemesls
220492746;MANEVRĒŠANAS NOT. NEIEVĒROŠANA (BRAUKŠANAS SĀKŠANA, PĀRKĀRTOŠANĀS, NOGRIEŠANĀS, APDZĪŠANA U.TML.);Iemesls
220447284;NEPĀRLIECINĀŠANĀS PAR CEĻU SATIKSMES DROŠĪBU (NEUZMANĪBA);Iemesls
220596576;DROŠAS DISTANCES NEIEVĒROŠANA;Iemesls
220500841;NEPĀRLIECINĀŠANĀS PAR CEĻU SATIKSMES DROŠĪBU (NEUZMANĪBA);Iemesls
220403520;NEPĀRLIECINĀŠANĀS PAR CEĻU SATIKSMES DROŠĪBU (NEUZMANĪBA);Iemesls
220435737;REGULĒJAMA KRUSTOJUMA IZBRAUKŠANAS NOLIEGUMU NEIEVĒROŠANA (LUKSOFORS, PRIEKŠROKA, CEĻAZĪMES U.TML.);Iemesls
220553785;DROŠA INTERVĀLA NEIEVĒROŠANA;Iemesls
220595155;REGULĒJAMA KRUSTOJUMA IZBRAUKŠANAS NOLIEGUMU NEIEVĒROŠANA (LUKSOFORS, PRIEKŠROKA, CEĻAZĪMES U.TML.);Iemesls
220700343;NEPĀRLIECINĀŠANĀS PAR CEĻU SATIKSMES DROŠĪBU (NEUZMANĪBA);Iemesls
220598788;CITS IEMESLS;Iemesls
220651896;NEPĀRLIECINĀŠANĀS PAR CEĻU SATIKSMES DROŠĪBU (NEUZMANĪBA);Iemesls
220459699;CITS IEMESLS;Iemesls
220393370;CITS IEMESLS;Iemesls
220424668;REGULĒJAMA KRUSTOJUMA IZBRAUKŠANAS NOLIEGUMU NEIEVĒROŠANA (LUKSOFORS, PRIEKŠROKA, CEĻAZĪMES U.TML.);Iemesls
220636592;NEPĀRLIECINĀŠANĀS PAR CEĻU SATIKSMES DROŠĪBU (NEUZMANĪBA);Iemesls
220389853;NEPĀRLIECINĀŠANĀS PAR CEĻU SATIKSMES DROŠĪBU (NEUZMANĪBA);Iemesls
220448864;NEPĀRLIECINĀŠANĀS PAR CEĻU SATIKSMES DROŠĪBU (NEUZMANĪBA);Iemesls
220529238;METEOROLOĢISKIE APSTĀKĻI;Iemesls
220687544;NEPĀRLIECINĀŠANĀS PAR CEĻU SATIKSMES DROŠĪBU (NEUZMANĪBA);Iemesls
220407186;NEPĀRLIECINĀŠANĀS PAR CEĻU SATIKSMES DROŠĪBU (NEUZMANĪBA);Iemesls
220400248;NEPĀRLIECINĀŠANĀS PAR CEĻU SATIKSMES DROŠĪBU (NEUZMANĪBA);Iemesls
220638241;NEPĀRLIECINĀŠANĀS PAR CEĻU SATIKSMES DROŠĪBU (NEUZMANĪBA);Iemesls
220482805;DROŠAS DISTANCES NEIEVĒROŠANA;Iemesls
220439078;REGULĒJAMA KRUSTOJUMA IZBRAUKŠANAS NOLIEGUMU NEIEVĒROŠANA (LUKSOFORS, PRIEKŠROKA, CEĻAZĪMES U.TML.);Iemesls
220433022;CITS IEMESLS;Iemesls
220620594;CITS IEMESLS;Iemesls
220667759;NEPAREIZA ĀTRUMA IZVĒLE;Iemesls
220387276;NEPĀRLIECINĀŠANĀS PAR CEĻU SATIKSMES DROŠĪBU (NEUZMANĪBA);Iemesls
220469463;CITS IEMESLS;Iemesls
220483339;CITS IEMESLS;Iemesls
220540478;NEPĀRLIECINĀŠANĀS PAR CEĻU SATIKSMES DROŠĪBU (NEUZMANĪBA);Iemesls
220401658;CITS IEMESLS;Iemesls
220432139;DROŠAS DISTANCES NEIEVĒROŠANA;Iemesls
220508420;NEPĀRLIECINĀŠANĀS PAR CEĻU SATIKSMES DROŠĪBU (NEUZMANĪBA);Iemesls
220578323;REGULĒJAMA KRUSTOJUMA IZBRAUKŠANAS NOLIEGUMU NEIEVĒROŠANA (LUKSOFORS, PRIEKŠROKA, CEĻAZĪMES U.TML.);Iemesls
220582962;CEĻA APSTĀKĻI;Iemesls
220432395;NEPĀRLIECINĀŠANĀS PAR CEĻU SATIKSMES DROŠĪBU (NEUZMANĪBA);Iemesls
220445824;REGULĒJAMA KRUSTOJUMA IZBRAUKŠANAS NOLIEGUMU NEIEVĒROŠANA (LUKSOFORS, PRIEKŠROKA, CEĻAZĪMES U.TML.);Iemesls
220479530;CITS IEMESLS;Iemesls
220474770;NEPĀRLIECINĀŠANĀS PAR CEĻU SATIKSMES DROŠĪBU (NEUZMANĪBA);Iemesls
220554672;NEPĀRLIECINĀŠANĀS PAR CEĻU SATIKSMES DROŠĪBU (NEUZMANĪBA);Iemesls
220419001;CITS IEMESLS;Iemesls
220538904;NEPĀRLIECINĀŠANĀS PAR CEĻU SATIKSMES DROŠĪBU (NEUZMANĪBA);Iemesls
220397562;CITS IEMESLS;Iemesls
220417222;CITS IEMESLS;Iemesls
220494447;DROŠA INTERVĀLA NEIEVĒROŠANA;Iemesls
220648321;CITS IEMESLS;Iemesls
